BICR31_UPPER_AERODIGESTIVE_TRACT,CAOV3_OVARY,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,SKMEL2_SKIN,SKMEL3_SKIN
2,0,1,7,17
2,0,1,7,13
0,0,1,0,0
1,1,1,5,2
2,1,3,3,9
1,1,3,10,4
1,1,3,10,5
0,0,0,2,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,1,0
3,0,0,0,0
0,0,0,0,0
0,0,0,2,0
24,54,46,189,96
0,0,19,0,1
0,0,0,0,0
31,32,36,68,77
5,7,9,26,12
1,0,0,0,0
69,1,15,0,10
70,3,3,0,18
46,49,92,116,163
0,0,0,0,0
103,10,15,14,14
9,10,14,24,4
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
4,1,2,5,2
0,0,0,5,0
0,0,0,0,0
1,0,0,4,0
0,0,0,1,0
59,4,3,43,1
8,0,2,14,4
0,0,0,0,0
2,0,1,0,2
22,0,21,0,83
194,82,117,467,216
0,0,2,11,6
0,0,0,0,0
0,0,0,11,3
0,0,0,0,0
0,0,3,15,22
0,0,2,13,14
0,0,0,0,0
0,0,2,4,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
388,120,225,327,449
300,113,181,331,406
2,0,0,10,2
0,0,0,0,0
1,0,0,2,1
0,0,0,1,0
18,15,17,641,22
273,111,150,363,384
82,52,72,682,100
211,91,93,361,256
177,86,68,303,233
21,3,3,2,16
8,0,2,8,15
0,0,0,1,0
1,1,1,13,7
0,3,0,9,0
0,0,0,5,0
66,34,88,76,79
107,33,9,51,46
69,0,0,0,0
111,12,0,40,39
110,11,0,46,40
120,12,37,55,39
88,8,31,34,21
82,7,27,26,18
36,1,1,15,8
12,0,1,4,3
3,0,1,4,2
41,1,0,21,1
97,4,8,46,14
94,2,7,26,6
106,40,60,50,125
167,29,1,31,45
191,16,28,29,52
106,5,31,12,9
0,0,0,0,0
8,6,4,22,14
6,1,3,12,7
6,1,5,8,4
3,0,1,3,2
0,0,0,5,2
3,1,2,13,7
0,0,0,0,0
0,0,0,0,0
0,0,12,0,0
17,7,0,42,22
0,0,0,0,0
0,0,9,0,0
20,7,0,24,17
21,8,0,26,20
0,0,0,0,0
0,0,0,0,0
0,1,0,3,0
1,0,0,11,3
2,4,2,26,6
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,2,5,2
73,9,27,38,32
77,10,33,21,79
0,0,2,0,0
39,6,0,15,34
0,0,0,0,0
0,0,9,1,0
27,9,0,11,8
0,0,16,0,1
0,0,7,1,1
26,8,1,26,26
24,8,1,26,26
0,0,0,0,0
23,5,2,11,9
288,94,77,174,216
3,3,125,70,1
230,100,2,266,167
236,144,0,256,196
611,241,8,449,578
1,0,161,178,0
0,0,0,30,0
0,0,0,40,0
0,0,8,7,0
2,0,0,8,4
1,0,0,4,3
0,0,0,0,0
0,0,0,0,0
3,0,0,0,7
0,0,0,0,0
0,0,0,0,0
1,0,0,4,12
0,0,0,3,0
0,0,0,2,0
0,0,0,2,0
9,34,0,8,11
1,1,0,0,7
88,0,0,12,17
100,0,0,41,10
6,3,0,10,4
9,11,19,9,12
7,17,16,9,12
0,13,0,7,9
1,2,12,7,5
0,4,5,6,11
0,0,92,62,135
0,0,0,1,0
0,0,0,0,1
0,1,2,0,0
0,0,2,1,0
0,1,0,3,0
1,1,1,3,0
112,64,125,0,0
1,4,3,0,0
9,8,11,0,1
0,0,8,5,1
0,0,0,12,0
0,0,0,3,2
10,5,5,0,2
6,2,0,16,6
15,9,12,0,0
0,0,2,0,0
0,0,1,10,0
0,0,0,0,0
33,7,18,0,8
2,1,0,2,0
21,8,16,9,8
23,2,13,18,6
0,0,2,1,0
0,0,0,2,0
2,1,0,2,4
5,0,1,1,2
3,0,1,1,3
3,0,0,0,0
0,0,1,0,0
14,4,12,0,12
5,0,4,0,16
4,0,0,0,13
3,0,5,0,4
26,0,35,0,0
43,30,47,0,92
20,0,17,48,22
0,0,0,27,0
0,0,2,11,1
0,0,0,0,0
0,2,0,0,0
235,109,179,117,249
326,146,186,123,285
292,0,133,91,299
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,1
100,1,49,0,48
0,0,0,0,0
0,73,45,56,94
3,3,10,0,10
0,64,0,0,113
21,0,0,10,9
15,0,1,111,193
23,0,2,46,126
100,0,49,131,570
17,0,8,50,196
87,1,47,112,676
0,3,2,5,6
0,7,2,8,3
143,85,105,104,64
50,51,61,74,109
2,0,0,0,0
203,0,1,0,0
1,0,0,0,1
171,0,2,0,0
0,0,0,0,0
58,0,4,0,0
71,0,1,0,0
0,0,0,0,0
0,0,27,0,5
0,0,12,0,0
0,0,0,0,0
0,0,1,2,0
0,0,4,13,0
451,98,57,66,189
0,0,62,1,0
8,5,1,6,11
0,6,0,10,3
0,0,0,0,0
3,0,26,0,0
3,0,30,0,0
6,0,2,0,0
26,0,16,0,0
3,2,6,0,5
213,0,119,307,0
0,135,1,193,340
15,0,16,11,0
6,4,4,61,15
0,2,5,18,18
3,1,3,13,10
0,1,1,3,6
315,145,218,574,346
43,0,11,8,1
6,1,1,12,4
27,0,20,15,0
1,0,1,2,0
2,0,4,5,0
6,0,3,2,0
3,0,8,0,0
2,0,7,1,0
239,115,192,166,173
0,1,0,2,23
0,0,0,0,0
0,61,1,74,136
0,0,0,0,0
0,0,0,0,0
0,0,0,1,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,56,0,65,126
0,0,0,4,3
0,2,0,4,3
0,0,0,0,0
0,1,0,0,0
0,1,0,4,22
0,0,0,0,0
0,0,0,0,0
0,1,0,3,10
0,0,0,0,0
0,0,0,0,13
5,15,17,16,77
0,1,0,0,3
0,20,20,14,75
0,0,0,0,19
1,13,5,10,34
0,41,0,0,21
104,68,136,220,159
0,0,0,0,0
0,4,0,0,5
4,1,1,0,4
0,0,0,15,4
20,49,6,192,170
0,17,0,192,78
0,31,0,246,124
0,32,0,226,134
0,32,0,209,80
0,30,0,181,112
14,31,3,157,110
2,1,2,4,4
1,3,3,6,7
8,1,11,222,37
8,0,8,184,32
2,24,25,73,55
8,35,17,91,61
8,30,32,60,108
4,23,21,49,82
3,29,14,57,57
3,12,13,32,146
14,2,5,9,30
1,0,0,5,0
3,2,1,7,4
7,5,1,7,6
2,2,1,2,5
2,0,0,1,2
3,1,1,4,5
145,23,9,25,37
18,3,26,5,11
239,179,533,297,281
47,19,70,63,52
53,37,100,43,62
13,8,13,8,17
12,6,12,8,15
4,3,6,8,5
7,3,9,7,5
0,0,0,22,0
0,0,0,12,0
0,1,0,9,0
0,0,0,11,0
0,0,0,6,0
0,0,0,2,0
0,0,0,2,0
0,0,0,5,1
0,0,0,0,0
4,0,0,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
35,42,21,68,25
1,0,1,0,0
19,26,12,34,25
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37,21,11,40,19
193,109,113,851,548
175,96,102,390,428
6,0,3,157,24
125,0,64,588,120
63,2,35,48,1
86,0,44,226,41
1,0,0,5,3
64,0,32,93,27
134,1,77,155,93
202,196,122,121,220
160,1,65,131,2
158,0,59,120,1
163,0,70,132,0
113,0,55,223,86
1,0,0,4,0
0,0,1,173,0
141,367,124,342,690
7,14,10,73,93
4,8,7,45,36
5,8,6,52,22
2,2,0,31,17
0,0,0,30,9
1,2,0,6,9
4,0,1,47,8
7,11,4,68,41
5,13,5,71,37
2,3,5,39,34
6,5,10,63,37
0,0,1,20,11
9,0,4,107,19
2,4,2,50,11
4,2,1,30,13
4,5,2,15,11
0,4,3,55,10
4,0,7,99,26
0,0,0,38,2
0,0,0,14,13
0,0,0,9,6
0,0,0,7,9
115,1,70,133,114
59,0,46,55,91
0,0,0,0,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
57,33,0,56,34
0,35,1,68,0
5,4,0,16,6
6,11,0,18,17
6,6,0,19,7
1,5,0,4,0
0,3,0,1,0
638,317,1,294,1
0,4,0,0,0
4,1,0,0,6
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,32,0,0,117
0,0,0,0,0
0,0,0,0,0
0,6,0,0,6
0,4,0,0,0
0,4,0,1,0
0,2,0,0,0
0,4,0,0,0
0,3,0,0,0
70,26,55,22,22
0,30,0,0,0
120,50,89,32,139
7,58,36,17,91
111,48,24,23,179
0,2,0,0,0
0,24,0,0,1
0,33,0,0,0
434,3,304,744,3
0,0,1,2,0
2,4,9,6,5
3,0,4,5,0
0,0,2,6,0
0,0,0,0,0
683,1,183,267,4
8,0,0,3,0
25,0,8,7,0
9,0,3,5,0
19,4,4,12,3
21,2,4,7,3
31,2,4,6,3
17,3,6,11,2
12,0,4,11,0
27,0,4,6,0
0,92,1,59,155
0,72,0,55,0
0,63,1,31,0
0,64,1,33,1
0,30,0,10,87
0,31,0,28,0
0,1,0,1,0
0,0,0,0,6
0,0,0,0,9
0,0,0,0,8
0,5,0,32,65
0,6,0,18,41
0,0,0,0,43
0,0,0,0,50
0,28,0,41,181
0,0,0,0,138
4,0,0,1,3
0,0,0,0,4
0,0,0,0,11
0,2,0,2,3
0,0,0,1,2
0,0,0,0,11
0,0,0,0,3
39,11,0,18,25
26,9,2,10,42
29,8,4,18,47
13,7,4,20,28
15,11,6,13,12
24,10,7,16,21
104,34,0,0,20
135,43,0,0,27
128,49,0,0,30
42,27,1,0,10
39,25,0,0,9
23,16,2,54,37
19,1,1,5,17
36,11,0,10,13
58,20,0,0,25
50,17,0,0,18
2,0,0,0,3
0,0,0,0,0
0,0,0,0,0
1,2,23,2,80
7,0,38,2,105
7,6,13,0,49
24,6,7,1,11
13,0,13,0,0
0,0,0,3,1
107,2,109,80,38
40,0,10,69,24
59,28,15,64,0
47,9,18,36,13
27,3,8,32,19
35,4,12,25,17
38,6,13,34,21
49,13,24,54,30
37,6,14,32,24
42,8,17,41,27
112,11,32,64,23
101,9,32,61,19
58,11,23,19,0
40,3,19,8,21
0,0,0,0,3
315,38,141,96,1
48,19,0,52,114
0,0,0,3,0
199,1,113,81,0
184,0,0,44,0
102,0,0,51,0
0,1,2,1,1
18,2,34,6,72
1,1,4,12,21
0,0,0,0,0
17,10,67,111,137
0,0,0,0,0
20,0,0,0,0
15,0,0,0,0
65,30,55,42,56
0,0,0,0,0
50,48,11,106,113
23,1,0,1,0
22,0,1,3,0
7,0,0,0,0
1378,455,1011,622,622
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
365,170,79,82,78
366,171,80,83,78
0,0,0,0,0
0,0,0,0,0
25,0,0,0,0
39,29,57,145,83
4,1,3,8,10
10,3,8,72,20
11,4,14,90,31
10,3,12,92,31
16,6,22,142,43
31,10,41,180,70
33,20,46,215,87
11,7,18,148,38
3,2,4,21,9
27,11,36,51,48
2,0,0,1,0
84,0,0,2,0
0,0,0,0,0
34,3,16,6,38
30,3,18,6,22
20,2,14,3,15
32,4,17,3,18
29,3,17,4,23
30,5,18,7,24
30,3,15,7,23
13,0,2,0,0
34,10,15,15,24
0,0,0,0,0
2,0,0,1,0
14,1,11,0,11
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
119,114,119,227,269
84,71,85,182,170
68,1,125,0,41
23,0,44,0,6
39,0,99,0,27
42,0,84,0,28
34,0,28,0,25
36,0,29,0,18
0,0,3,0,1
446,3,336,0,140
1,0,0,0,1
2,0,0,0,0
680,2,553,1,218
0,0,0,2,1
1,0,0,0,1
39,1,29,1,18
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
23,8,6,4,12
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,8,0
0,0,0,0,0
34,0,31,99,33
89,21,51,176,96
96,28,51,192,106
72,26,43,166,79
59,30,44,181,86
0,0,0,0,0
24,5,17,60,21
21,1,14,38,17
15,3,9,43,15
17,2,10,18,17
23,5,16,39,24
28,5,20,66,29
38,9,20,80,36
41,14,33,100,45
0,0,0,0,0
67,28,54,161,94
68,32,56,121,84
70,30,56,124,83
45,23,41,115,56
46,21,48,124,61
43,14,32,128,66
88,33,72,137,104
88,35,75,148,106
90,31,60,176,102
55,19,27,141,44
2,0,0,1,0
58,16,34,122,66
59,21,45,117,85
69,36,50,140,97
71,37,51,163,102
29,21,14,132,42
71,20,55,173,65
63,22,50,252,53
62,20,52,265,51
45,17,32,243,46
27,3,21,188,34
16,2,10,105,30
23,3,15,142,32
22,4,15,116,28
13,3,11,39,15
15,1,10,20,12
13,0,3,9,9
12,0,4,17,10
12,4,10,47,22
9,4,11,45,15
29,5,18,80,32
49,10,34,109,43
74,15,49,121,66
75,15,52,116,75
68,18,56,137,72
24,5,14,84,35
28,10,18,91,37
39,13,20,107,46
31,13,26,117,43
34,17,22,136,43
62,12,32,118,60
57,13,31,117,57
45,17,30,131,56
48,15,26,136,57
61,12,28,142,52
48,15,24,119,53
53,18,34,142,63
76,27,65,179,85
82,35,73,208,104
83,44,82,219,113
0,16,4,26,28
25,24,8,19,11
3,2,0,2,4
3,3,4,3,5
0,0,0,0,1
300,0,122,79,32
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,9,2
0,0,0,0,0
7,0,1,0,6
4,6,0,7,14
1,1,1,1,8
0,0,3,1,4
8,0,3,0,3
7,0,4,0,6
1,0,0,0,3
3,0,0,0,0
3,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,10
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,10,7,35,6
7,8,12,31,5
5,6,7,16,7
0,0,0,0,0
6,2,1,26,10
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,4,1,12,15
0,0,0,0,1
13,5,16,6,24
0,0,0,0,0
1,0,2,19,12
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
0,1,0,1,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,5,10,4
1,5,3,14,14
0,0,3,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
163,0,6,0,9
295,257,10,1,8
5,0,0,4,5
0,0,0,0,0
0,0,0,0,0
1,83,1,37,237
52,41,0,22,47
42,0,7,12,4
23,25,93,78,64
5,0,0,6,7
0,0,0,20,7
0,0,0,0,2
229,180,84,236,92
206,162,93,223,92
1,0,0,0,2
3,2,1,4,0
2,2,0,11,2
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,14,1,100
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,3,0,12,2
0,0,0,0,0
0,0,0,0,0
1,4,2,7,2
0,0,0,0,0
0,3,3,17,5
42,0,77,49,0
37,0,24,18,1
12,14,15,48,43
0,0,8,39,0
154,0,211,176,1
836,298,1478,1088,936
836,2,1480,464,235
0,0,0,1,0
568,262,1060,928,764
2,0,4,4,0
17,4,6,16,5
126,14,42,41,42
0,0,0,0,0
2,2,2,4,9
0,0,1,15,5
0,0,1,23,5
0,0,0,5,2
0,0,2,3,1
0,1,158,147,165
12,5,297,447,314
0,0,17,28,31
0,0,1,1,1
0,0,6,3,3
0,0,1,7,4
0,0,0,0,0
36,0,0,35,0
567,133,14,39,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
2,0,0,30,0
14,0,0,2,0
0,0,0,2,0
0,0,0,0,0
0,0,0,1,0
8,0,0,17,0
13,0,1,6,0
10,0,1,6,0
3,0,0,28,0
0,0,0,0,0
9,0,0,16,0
5,0,0,14,0
0,0,0,0,0
0,0,0,0,0
54,48,76,224,136
67,51,97,189,217
42,56,97,146,198
2,7,13,19,24
0,0,0,2,0
0,0,0,3,0
0,0,0,5,0
0,0,0,0,0
20,0,0,0,0
5,0,0,0,0
4,0,0,0,0
0,0,0,0,0
0,0,0,10,0
0,0,0,4,0
0,0,7,8,0
0,0,0,0,0
0,0,0,3,0
0,0,0,11,0
0,0,0,18,0
0,0,0,11,2
0,0,0,0,0
8,25,15,47,3
0,0,0,0,0
245,37,37,217,179
0,0,0,0,0
132,0,30,124,71
57,20,32,57,11
1,13,4,36,0
0,0,0,0,0
935,1,368,426,392
198,131,0,416,7
3,0,3,1,0
67,0,10,18,15
1,0,0,1,0
106,0,10,56,24
71,0,10,105,17
0,0,0,0,0
138,0,26,40,25
124,61,68,77,78
93,1,20,64,18
80,0,17,25,12
87,40,30,50,48
9,11,2,7,1
36,0,1,5,0
157,0,25,46,42
136,1,10,58,50
67,0,9,36,27
63,0,9,35,20
25,0,5,29,7
133,1,16,93,194
98,0,0,60,35
84,1,9,49,34
99,29,25,79,149
802,0,337,188,172
6,1,0,13,40
0,0,0,0,0
467,0,190,291,547
524,0,173,252,573
152,0,63,140,216
320,78,1,0,0
1,0,214,7,1
0,0,0,1,0
1,0,4,1,0
0,0,12,1,0
0,0,3,0,0
270,1,403,11,0
112,77,257,10,1
0,0,1,0,0
0,0,0,0,0
2,0,0,2,0
0,0,0,0,0
0,0,7,0,0
0,0,0,0,0
0,1,1,0,0
40,8,23,0,0
75,1,37,0,0
174,1,79,1,4
4,0,1,0,0
2,0,3,0,0
6,0,1,0,0
101,0,80,0,0
1,0,0,0,0
18,8,7,0,1
36,12,5,0,0
0,0,0,0,1
30,12,7,0,1
40,15,6,1,0
63,19,9,0,0
23,9,3,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
494,355,353,357,112
0,0,0,0,0
9,9,0,14,2
2,1,4,4,1
3,4,3,3,0
199,270,130,332,75
1,0,0,0,0
1,0,1,0,0
259,2,133,324,22
248,0,130,316,21
16,3,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
7,0,0,0,0
38,0,6,21,3
119,0,70,50,25
123,2,66,64,22
12,0,6,29,12
2,0,1,13,2
0,0,3,0,0
112,0,42,133,23
26,3,5,13,7
3,0,2,4,3
30,9,9,18,17
1,0,0,0,0
33,51,9,0,18
116,140,33,50,58
183,51,77,40,97
20,8,4,6,16
1,3,1,5,1
700,443,803,288,735
0,0,0,0,0
2,0,0,12,0
2,0,4,9,1
0,2,1,0,0
0,0,0,0,0
0,0,0,1,0
1,0,0,5,0
0,0,0,8,0
2,0,0,0,0
0,0,0,6,1
0,0,0,0,0
0,0,0,3,1
1,0,0,3,3
2,4,3,9,13
2,0,0,0,0
3,0,0,0,0
0,0,0,1,0
0,2,2,6,0
0,0,0,3,1
5,4,2,10,11
13,1,1,28,9
12,14,26,32,25
26,40,62,49,47
30,42,71,56,47
9,1,12,11,13
25,51,43,32,52
35,61,76,59,79
37,23,47,72,54
15,16,45,74,25
15,52,38,83,33
44,51,94,110,70
40,4,69,93,23
43,10,64,180,21
25,26,88,247,38
26,28,106,229,43
11,46,143,181,55
21,30,64,137,26
60,116,301,229,109
11,29,49,41,37
4,68,101,108,51
10,53,60,129,29
8,54,58,126,30
10,40,49,26,42
1,20,28,3,17
5,32,39,28,26
15,63,60,87,31
27,53,69,93,32
5,64,36,48,24
5,40,50,33,31
17,68,112,54,58
30,85,137,125,54
18,66,67,79,29
11,67,66,67,39
8,70,43,60,46
5,33,23,45,28
0,0,1,0,2
25,57,57,47,48
33,32,71,44,51
22,22,38,14,21
12,36,71,35,22
26,28,57,44,36
27,26,62,45,39
0,2,6,6,4
2,6,3,7,12
20,27,55,39,27
0,1,1,0,4
0,0,5,1,5
23,48,71,74,60
0,0,1,0,2
3,3,5,4,9
0,0,4,0,0
0,1,5,4,6
2,0,3,4,1
1,5,1,11,1
5,3,2,7,9
0,1,2,5,5
0,1,3,0,2
1,2,5,11,7
0,5,5,14,8
8,12,9,37,22
2,8,3,21,21
2,3,0,4,7
6,15,2,43,12
3,11,10,48,19
4,3,0,44,10
4,14,6,60,19
4,7,3,40,10
