BICR31_UPPER_AERODIGESTIVE_TRACT,CAOV3_OVARY,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,SKMEL2_SKIN,SKMEL3_SKIN
57,39,92,88,41
44,60,124,75,237
2,17,14,12,3
3,13,15,8,5
1,5,8,1,0
9,12,27,29,13
19,14,40,58,22
32,23,47,107,32
184,60,159,223,92
3,4,0,6,0
20,25,30,4,38
39,30,32,7,43
0,0,0,0,0
17,8,7,5,10
0,0,0,1,0
0,0,1,1,0
86,30,28,56,63
7,3,5,6,6
2,2,1,6,10
6,4,0,6,1
4,1,3,6,3
7,1,2,3,4
4,2,1,2,1
16,1,4,6,15
290,203,146,274,299
97,16,38,12,112
95,50,33,12,111
16,11,4466,9,10264
21,6,5,14,15
14,3,7,19,12
32,12,16,16,26
16,3,14,11,17
6,1,1,5,6
6,7,9,12,18
6,10,5,6,10
0,0,0,22,0
28,9,14,18,39
7,1,2,16,5
4,5,1,21,10
45,9,22,14,26
18,10,9,11,12
13,4,6,7,7
20,9,10,3987,28
18,4,2,69,14
22,4,7,29,21
3,3,5,41,9
2,1,0,1,8
0,0,0,0,0
0,0,0,1,0
0,0,0,7,0
1,0,0,3,0
0,1,0,5,0
0,0,0,1,0
1,0,0,2,0
3,0,0,12,0
4,0,0,8,0
7,0,0,19,0
3,0,0,10,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
10,0,0,18,0
0,0,0,0,0
17,0,0,36,1
0,0,0,0,1
0,0,0,4,0
0,0,0,0,0
2,0,4,0,2
0,0,0,0,0
0,0,6,0,0
0,0,11,0,0
0,0,0,0,0
0,0,11,0,0
0,0,4,0,0
0,0,14,1,0
0,0,0,0,0
0,0,6,0,0
0,0,6,1,0
0,0,8,0,0
0,0,48,3,0
0,0,41,0,0
1,1,136,0,1
0,0,2,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,13,0,0
0,0,9,0,0
0,0,0,0,0
0,0,303,2,0
0,0,305,0,0
0,2,214,1196,4
0,0,3,0,0
1,0,260,0,0
0,0,226,2,0
2,0,270,0,2
0,1,10,0,0
0,0,5,0,0
0,0,5,22,0
0,0,4,0,0
0,0,12,0,0
0,0,1,1,0
0,0,6,0,0
1,0,5,0,1
0,0,0,0,0
0,0,1,0,0
0,0,3,0,0
0,0,34,0,0
0,0,4,0,0
0,0,1,0,0
0,0,26,3,0
0,0,17,0,0
0,0,12,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54,18,16,2,36
0,0,0,1,86
63,18,10,3,63
38,3,3,1,21
0,0,0,0,0
0,0,0,1,0
37,13,5,1,22
0,0,1,3,0
0,0,0,0,0
0,0,0,1,0
47,13,22,3,0
0,0,0,4,0
1,0,7,0,0
0,0,0,0,0
0,0,0,0,0
1,0,5,2,9
0,0,11,4,0
0,0,32,17,18
0,0,15,6,0
0,0,9,5,0
0,0,0,3,0
0,0,0,9,0
0,0,0,3,0
0,0,0,6,0
0,0,0,3,0
0,0,2,3,5
9,10,3,4,2
0,0,0,4,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,43,0
0,0,0,186,0
0,0,0,1,0
129,945,120,93,77
0,0,1,65,0
65,5,33,3,13
0,0,2,3,4
0,0,0,6,0
0,0,0,3,0
0,0,4,4,7
0,0,0,14,0
0,0,0,13,0
0,0,0,14,0
0,0,0,13,0
0,0,0,13,0
0,0,0,12,0
1,0,0,1,0
0,0,0,5,0
0,0,0,0,0
0,0,0,9,0
2,0,0,71,0
0,0,0,18,0
0,0,0,0,0
0,0,0,11,0
0,0,0,7,0
0,0,0,83,0
1,0,0,15,0
0,0,0,34,0
0,0,0,22,52
1,1,173,31,1
1943,409,256,40,567
1768,378,255,51,542
6,3,3,82,699
10,0,1,84,451
2,1,0,85,332
0,0,0,6,0
5,8,1,5,1
0,0,0,21,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,28,29
67,28,41,30,46
51,0,29,101,55
4,0,3,40,20
0,0,0,16,15
3,0,3,26,13
38,47,35,64,50
0,1,0,15,8
0,1,0,8,7
1,1,0,18,1
1,0,0,12,2
0,1,1,15,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
498,118,529,215,520
18,14,67,35,43
13,12,13,41,29
6,2,0,1322,2072
3,4,4,10,6
3,6,6,18,12
1,0,8,10,2
48,18,96,22,79
0,1,0,0,13
0,0,0,0,12
0,0,0,0,7
0,0,0,0,2
0,127,126,1,67
0,181,212,0,130
63,23,124,104,132
21,7,40,37,38
26,10,45,49,49
26,10,41,53,49
21,11,30,45,44
21,0,14,41,39
19,9,36,61,39
9,3,16,28,17
13,3,21,44,19
13,6,27,46,37
35,12,46,147,59
9,5,17,62,38
7,2,17,51,35
5,3,13,31,23
4,1,4,33,12
27,5,27,68,45
20,6,17,82,26
0,0,0,0,25
0,0,0,0,35
0,0,0,0,34
0,0,0,0,110
0,0,0,0,5
0,0,0,0,0
0,0,0,0,2
0,0,0,0,38
1,0,1,1,46
0,0,0,1,78
1,0,0,0,43
0,0,0,0,0
0,0,0,1,0
0,0,0,0,47
0,0,0,0,1
1,0,1,0,0
0,0,0,0,0
2,0,3,0,10
0,0,0,0,15
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,4
0,0,4,0,1
0,0,0,0,2
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,0,0,0,6
0,4,7,0,5
0,0,0,0,1
0,0,0,0,1
0,0,0,1,1
46,0,29,73,51
0,0,0,0,20
0,0,0,0,26
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,2,0,0,2
9,0,17,45,12
8,0,19,50,24
24,0,22,29,25
210,2,101,162,187
59,0,52,91,53
9,1,2,17,12
8,8,15,72,22
4,3,4,16,6
22,0,17,126,39
12,8,18,72,30
2,5,7,28,22
946,1,615,1734,1041
10,5,4,24,23
8,5,7,58,17
1,3,4,18,7
53,0,4,0,27
18,0,2,0,18
302,0,14,2,63
10,19,16,34,60
62,34,53,253,113
63,35,53,262,122
5,7,21,65,40
14,13,20,67,62
10,10,13,52,46
1,0,2,5,1
6,3,16,84,51
15,17,37,87,76
18,12,39,90,74
27,12,40,159,85
6,2,8,26,6
144,186,150,578,385
80,84,91,404,223
87,141,98,542,306
19,6,4,116,12
121,181,158,663,362
263,115,162,371,316
18,6,8,14,17
25,14,69,43,93
4,2,6,14,11
3,1,8,11,9
1,0,5,14,15
3,0,2,8,8
1,0,2,18,12
0,0,0,114,1
458,2,548,522,1525
671,3,909,958,2461
0,0,0,0,1
0,0,0,0,0
2,0,5,30,201
43,9,23,41,31
62,0,86,51,98
0,0,0,0,1
0,0,0,0,0
5,0,2,22,96
4,0,1,13,53
18,0,0,13,3
10,0,1,3,3
2,3,18,6,36
38,0,0,18,35
0,0,0,5,5
1,0,0,3,0
0,0,0,0,0
0,0,0,0,0
8,4,1,0,11
4,0,5,10,5
5,1,13,15,9
0,0,0,0,0
3,4,4,15,9
1,1,0,42,7
0,2,3,20,10
3,1,2,27,18
2,1,2,6,12
0,0,0,0,0
1,4,0,3,12
